indicador,label,correlacion,ci_lower,ci_upper,p_value,n
cobertura_bruta,Cobertura bruta educativa,0.15231936533102935,-0.41152702743294095,0.6318420067207917,0.603174465292242,14
cobertura_neta,Cobertura neta educativa,-0.13024409499319903,-0.6181159623494354,0.4300630907139758,0.6571928788418367,14
desercion,Deserción escolar,-0.046409094766948725,-0.563129846889778,0.49640164178621476,0.8748189402016304,14
aprobacion,Aprobación escolar,-0.0022075270337830345,-0.5321715066465501,0.5289993869977992,0.9940242038696128,14
reprobacion,Reprobación escolar,0.1613268532374884,-0.4038272481061438,0.6373576318321079,0.5816459938352772,14
repitencia,Repitencia escolar,0.0022075270337830345,-0.5289993869977992,0.5321715066465501,0.9940242038696132,14
aseguramiento,Cobertura de aseguramiento en salud,0.06633926657983659,-0.42795884512292903,0.5300889584306692,0.8002932812187136,17
